url,label,kind,paint_type,color,color_family,glans,full_code,sku,product_handle,slug
https://www.denlillemalerfabrik.dk/qr/dlm60-0101-g30,Gulvmaling — Snehvid · Glans 30,color,Gulvmaling,Snehvid,,30,DLM60-0101,DLM60-0101-G30-10L,gulvmaling-glans-30,/qr/dlm60-0101-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0101-g40,Gulvmaling — Snehvid · Glans 40,color,Gulvmaling,Snehvid,,40,DLM60-0101,DLM60-0101-G40-10L,gulvmaling-glans-40,/qr/dlm60-0101-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0101-g60,Gulvmaling — Snehvid · Glans 60,color,Gulvmaling,Snehvid,,60,DLM60-0101,DLM60-0101-G60-10L,gulvmaling-glans-60,/qr/dlm60-0101-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0102-g30,Gulvmaling — Porcelæn · Glans 30,color,Gulvmaling,Porcelæn,,30,DLM60-0102,DLM60-0102-G30-10L,gulvmaling-glans-30,/qr/dlm60-0102-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0102-g40,Gulvmaling — Porcelæn · Glans 40,color,Gulvmaling,Porcelæn,,40,DLM60-0102,DLM60-0102-G40-10L,gulvmaling-glans-40,/qr/dlm60-0102-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0102-g60,Gulvmaling — Porcelæn · Glans 60,color,Gulvmaling,Porcelæn,,60,DLM60-0102,DLM60-0102-G60-10L,gulvmaling-glans-60,/qr/dlm60-0102-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0103-g30,Gulvmaling — Kalkhvid · Glans 30,color,Gulvmaling,Kalkhvid,,30,DLM60-0103,DLM60-0103-G30-10L,gulvmaling-glans-30,/qr/dlm60-0103-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0103-g40,Gulvmaling — Kalkhvid · Glans 40,color,Gulvmaling,Kalkhvid,,40,DLM60-0103,DLM60-0103-G40-10L,gulvmaling-glans-40,/qr/dlm60-0103-g40
https://www.denlillemalerfabrik.dk/qr/dlm60-0103-g60,Gulvmaling — Kalkhvid · Glans 60,color,Gulvmaling,Kalkhvid,,60,DLM60-0103,DLM60-0103-G60-10L,gulvmaling-glans-60,/qr/dlm60-0103-g60
https://www.denlillemalerfabrik.dk/qr/dlm60-0104-g30,Gulvmaling — Cremehvid · Glans 30,color,Gulvmaling,Cremehvid,,30,DLM60-0104,DLM60-0104-G30-10L,gulvmaling-glans-30,/qr/dlm60-0104-g30
https://www.denlillemalerfabrik.dk/qr/dlm60-0104-g40,Gulvmaling — Cremehvid · Glans 40,color,Gulvmaling,Cremehvid,,40,DLM60-0104,DLM60-0104-G40-10L,gulvmaling-glans-40,/qr/dlm60-0104-g40
